ItemNumber | Title | CurrentPrice | Num of Bids | Seller | Shipping | End Date | Last Update
ItemNumber=46371731 | Title=Lot of Foreign Coins and Tokens | CurrentPrice=9.99 | Num of Bids=0 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:38:00 PM | Last Update=12/04/2017 18:17:20
ImagesForItemNum=46374620
ImagesForItemNum=46374895 | 62171561103137ld-thumb.jpg | 16202501103137ld-thumb.jpg | 46373481103138ld-thumb.jpg | 4589481103138ld-thumb.jpg | 73270351103138ld-thumb.jpg | 24358161103138ld-thumb.jpg
ItemNumber=46380603 | Title=Lot of 1.36 lbs. of Foreign Coins and Paper Money | CurrentPrice=9.99 | Num of Bids=0 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:56:00 PM | Last Update=12/04/2017 01:35:39
ItemNumber=46380603 | Title=Lot of 1.36 lbs. of Foreign Coins and Paper Money | CurrentPrice=9.99 | Num of Bids=0 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:56:00 PM | Last Update=12/04/2017 01:46:13
ItemNumber=46380603 | Title=Lot of 1.36 lbs. of Foreign Coins and Paper Money | CurrentPrice=9.99 | Num of Bids=1 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:56:00 PM | Last Update=12/04/2017 18:17:23
ItemNumber=46378585 | Title=Lot of African Coins and a 50 Rand Bill. | CurrentPrice=9.99 | Num of Bids=0 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:15:00 PM | Last Update=12/04/2017 01:35:32
ItemNumber=46378585 | Title=Lot of African Coins and a 50 Rand Bill. | CurrentPrice=9.99 | Num of Bids=0 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:15:00 PM | Last Update=12/04/2017 01:46:06
ItemNumber=46378585 | Title=Lot of African Coins and a 50 Rand Bill. | CurrentPrice=9.99 | Num of Bids=0 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:15:00 PM | Last Update=12/04/2017 18:17:16
ItemNumber=46422486 | Title=Lot of Canadian Coins &amp; Paper Money | CurrentPrice=14.99 | Num of Bids=0 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/7/2017 6:43:00 PM | Last Update=12/04/2017 18:17:43
ItemNumber=46264142 | Title=Large Lot of Jello Coins and Holder Vintage 1960s | CurrentPrice=11.00 | Num of Bids=3 | Seller= | Shipping=Estimate Shipping | End Date=12/5/2017 7:09:00 PM | Last Update=12/04/2017 01:35:42
ItemNumber=46264142 | Title=Large Lot of Jello Coins and Holder Vintage 1960s | CurrentPrice=11.00 | Num of Bids=3 | Seller= | Shipping=Estimate Shipping | End Date=12/5/2017 7:09:00 PM | Last Update=12/04/2017 01:46:16
ItemNumber=46264142 | Title=Large Lot of Jello Coins and Holder Vintage 1960s | CurrentPrice=11.00 | Num of Bids=3 | Seller= | Shipping=Estimate Shipping | End Date=12/5/2017 7:09:00 PM | Last Update=12/04/2017 18:17:26
ItemNumber=46358808 | Title=9 US Military Challenge Coins | CurrentPrice=51.00 | Num of Bids=5 | Seller=Goodwill Industries of Southern Arizona | Shipping=Estimate Shipping | End Date=12/8/2017 6:30:00 PM | Last Update=12/04/2017 01:35:58
ItemNumber=46358808 | Title=9 US Military Challenge Coins | CurrentPrice=51.00 | Num of Bids=5 | Seller=Goodwill Industries of Southern Arizona | Shipping=Estimate Shipping | End Date=12/8/2017 6:30:00 PM | Last Update=12/04/2017 01:46:40
ItemNumber=46358808 | Title=9 US Military Challenge Coins | CurrentPrice=51.00 | Num of Bids=5 | Seller=Goodwill Industries of Southern Arizona | Shipping=Estimate Shipping | End Date=12/8/2017 6:30:00 PM | Last Update=12/04/2017 18:17:46
ItemNumber=46215870 | Title=55pc Toll Tax Fare Token Coins | CurrentPrice=29.99 | Num of Bids=0 | Seller=Goodwill of the Olympics and Rainier Region | Shipping= | End Date=12/4/2017 6:30:00 PM | Last Update=12/04/2017 01:35:33
ItemNumber=46215870 | Title=55pc Toll Tax Fare Token Coins | CurrentPrice=29.99 | Num of Bids=0 | Seller=Goodwill of the Olympics and Rainier Region | Shipping= | End Date=12/4/2017 6:30:00 PM | Last Update=12/04/2017 01:46:08
ItemNumber=46215870 | Title=55pc Toll Tax Fare Token Coins | CurrentPrice=29.99 | Num of Bids=0 | Seller=Goodwill of the Olympics and Rainier Region | Shipping= | End Date=12/4/2017 6:30:00 PM | Last Update=12/04/2017 18:17:18
ItemNumber=46335010 | Title=5 Lbs Of Mixed International Coins | CurrentPrice=8.00 | Num of Bids=2 | Seller=Goodwill Industries of the Columbia Willamette | Shipping=Estimate Shipping | End Date=12/7/2017 6:30:00 PM | Last Update=12/04/2017 01:35:56
ItemNumber=46335010 | Title=5 Lbs Of Mixed International Coins | CurrentPrice=8.00 | Num of Bids=2 | Seller=Goodwill Industries of the Columbia Willamette | Shipping=Estimate Shipping | End Date=12/7/2017 6:30:00 PM | Last Update=12/04/2017 01:46:36
ItemNumber=46335010 | Title=5 Lbs Of Mixed International Coins | CurrentPrice=12.50 | Num of Bids=3 | Seller=Goodwill Industries of the Columbia Willamette | Shipping=Estimate Shipping | End Date=12/7/2017 6:30:00 PM | Last Update=12/04/2017 18:17:42
ItemNumber=46377493 | Title=Lot of 6 Antique US Coins Dating from 1883 - 1942 | CurrentPrice=22.01 | Num of Bids=10 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:35:00 PM | Last Update=12/04/2017 18:17:19
ItemNumber=46230647 | Title=Pearl Harbor Commemorative Coins,3 Total,Case | CurrentPrice=38.97 | Num of Bids=9 | Seller=Goodwill of Southwestern Pennsylvania | Shipping=Estimate Shipping | End Date=12/5/2017 7:33:00 PM | Last Update=12/04/2017 01:35:43
ItemNumber=46230647 | Title=Pearl Harbor Commemorative Coins,3 Total,Case | CurrentPrice=38.97 | Num of Bids=9 | Seller=Goodwill of Southwestern Pennsylvania | Shipping=Estimate Shipping | End Date=12/5/2017 7:33:00 PM | Last Update=12/04/2017 01:46:17
ItemNumber=46230647 | Title=Pearl Harbor Commemorative Coins,3 Total,Case | CurrentPrice=38.97 | Num of Bids=9 | Seller=Goodwill of Southwestern Pennsylvania | Shipping=Estimate Shipping | End Date=12/5/2017 7:33:00 PM | Last Update=12/04/2017 18:17:27
ItemNumber=46374620 | Title=11 pc Vintage Homco Inc Plastic Vegetables Decors | CurrentPrice=19.99 | Num of Bids=0 | Seller=Goodwill of the Olympics and Rainier Region | Shipping=$0.01 | End Date=12/7/2017 6:00:00 PM | Last Update=12/03/2017 22:48:57
ItemNumber=46331496 | Title=4 Pc Anime Manga Collectables Sailor Moon Naruto | CurrentPrice=19.99 | Num of Bids=0 | Seller=Goodwill of the Olympics and Rainier Region | Shipping=Estimate Shipping | End Date=12/6/2017 6:00:00 PM | Last Update=12/03/2017 22:48:56
ItemNumber=46371609 | Title=Lot of Old Foreign Coins from 1800&#39;s to 1940&#39;s. | CurrentPrice=19.99 | Num of Bids=3 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:13:00 PM | Last Update=12/04/2017 01:35:31
ItemNumber=46371609 | Title=Lot of Old Foreign Coins from 1800&#39;s to 1940&#39;s. | CurrentPrice=19.99 | Num of Bids=3 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:13:00 PM | Last Update=12/04/2017 01:46:06
ItemNumber=46371609 | Title=Lot of Old Foreign Coins from 1800&#39;s to 1940&#39;s. | CurrentPrice=19.99 | Num of Bids=3 | Seller=Goodwill Industries of the Valleys | Shipping=Estimate Shipping | End Date=12/4/2017 6:13:00 PM | Last Update=12/04/2017 18:17:15
ItemNumber=46253205 | Title=Sterling Silver Tablespoon-50.9g | CurrentPrice=16.00 | Num of Bids=3 | Seller=Goodwill Industries of the Columbia Willamette | Shipping=Estimate Shipping | End Date=12/5/2017 6:36:00 PM | Last Update=12/03/2017 22:48:55
96111999 | Apples | 12.5 | 2 | NY Seller | Shipping from NY | 12/1/2017 11:55:01 AM | 12/01/2017 12:51:46
96111999 | Oranges | 92.12 | 3 | NJ Seller | Shipping from NJ | 12/1/2017 12:55:01 AM | 12/01/2017 12:51:46
ImagesForItemNum=46395325
ItemNumber=46417309 | Title=Bay Books Cookery collection Vegetables for all s | CurrentPrice=7.99 | Num of Bids=0 | Seller= | Shipping=$0.01 | End Date=12/4/2017 4:00:00 PM | Last Update=12/03/2017 22:48:53
ItemNumber=46371096 | Title=Martin Burns Sportables 15 34 White Button Shirt | CurrentPrice=6.95 | Num of Bids=0 | Seller=Goodwill Industries of Northwest Ohio | Shipping=Estimate Shipping | End Date=12/4/2017 6:11:00 PM | Last Update=12/03/2017 22:48:53
ItemNumber=46214892 | Title=2 DJ Hero Turntables | CurrentPrice=5.00 | Num of Bids=0 | Seller=Shopgoodwill of El Paso | Shipping=Estimate Shipping | End Date=12/4/2017 9:00:00 PM | Last Update=12/03/2017 22:48:53
