ItemNumber | Title | CurrentPrice | Num of Bids | Seller | Shipping | End Date | Last Update
46404524 | A Guide Book of United States Coins 34th Ed 1981 | 9.99 | 0 |  | $0.01 | 12/4/2017 4:00:00 PM | 12/04/2017 18:17:13
46203723 | Confederate States Of America Coins | 9.99 | 1 |  | Estimate Shipping | 12/4/2017 5:00:00 PM | 12/04/2017 18:17:14
46203832 | Costa Rica Collection Coins | 9.99 | 1 |  | Estimate Shipping | 12/4/2017 5:00:00 PM | 12/04/2017 18:17:14
46283997 | Walt Disney Pressed Coin Collection Book &amp; Coins | 6.99 | 1 | Gulfstream Goodwill Industries | Estimate Shipping | 12/4/2017 5:00:00 PM | 12/04/2017 18:17:14
46379119 | lot of 4 US Navy Support Center Challenge Coins | 9.99 | 1 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:03:00 PM | 12/04/2017 18:17:14
46380829 | Lot of Old Foreign Coins Dating 1900-1950&#39;s | 11.00 | 2 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:04:00 PM | 12/04/2017 18:17:15
46380353 | Lot of 11 Foreign Coins from the 1800&#39;s | 13.00 | 2 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:08:00 PM | 12/04/2017 18:17:15
46375489 | Lot of 10 Old Chinese Coins. 1644-1911 | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:10:00 PM | 12/04/2017 18:17:15
46371609 | Lot of Old Foreign Coins from 1800&#39;s to 1940&#39;s. | 19.99 | 3 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:13:00 PM | 12/04/2017 18:17:15
46376402 | Lot of 0.46 lbs Foreign Coins and Paper Money | 9.99 | 1 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:13:00 PM | 12/04/2017 18:17:16
46378585 | Lot of African Coins and a 50 Rand Bill. | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:15:00 PM | 12/04/2017 18:17:16
46370479 | Lot of 7 Collectible Coins &amp; Tokens | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:19:00 PM | 12/04/2017 18:17:16
46371842 | Lot of Antique Centavos Coins from Chile 1916-38 | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:20:00 PM | 12/04/2017 18:17:16
46375576 | Lot of West African States Coins &amp; Paper Money | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:21:00 PM | 12/04/2017 18:17:17
46376136 | Lot of 1.87lbs. Foreign Coins &amp; Paper Money | 12.00 | 2 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:23:00 PM | 12/04/2017 18:17:17
46378019 | Lot of Vintage Foreign Coins | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:24:00 PM | 12/04/2017 18:17:17
46380878 | lot of 5 Various Challenge Coins | 9.99 | 1 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:25:00 PM | 12/04/2017 18:17:18
46292499 | Random Collection of Medals, Coins &amp; Tokens | 30.00 | 9 | Goodwill Industries of Central Florida | Estimate Shipping | 12/4/2017 6:26:00 PM | 12/04/2017 18:17:18
46215870 | 55pc Toll Tax Fare Token Coins | 29.99 | 0 | Goodwill of the Olympics and Rainier Region |  | 12/4/2017 6:30:00 PM | 12/04/2017 18:17:18
46377753 | Lot of Foreign Coins and Paper Money | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:31:00 PM | 12/04/2017 18:17:19
46371148 | 8 Commemorative Coins Predators Of North America | 9.99 | 1 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:32:00 PM | 12/04/2017 18:17:19
46379898 | Lot of 5 US Navy Operations Support Center Coins | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:34:00 PM | 12/04/2017 18:17:19
46377493 | Lot of 6 Antique US Coins Dating from 1883 - 1942 | 22.01 | 10 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:35:00 PM | 12/04/2017 18:17:19
46379558 | Lot of 4.71 lbs. Foreign Coins and Paper Money | 45.00 | 8 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:35:00 PM | 12/04/2017 18:17:20
46371314 | Lot of 10 &amp; 25 Centimes Liberte Egalite Coins | 9.99 | 1 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:38:00 PM | 12/04/2017 18:17:20
46371731 | Lot of Foreign Coins and Tokens | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:38:00 PM | 12/04/2017 18:17:20
46380186 | Lot of 7.89 lbs of Foreign Coins and Paper Money | 50.66 | 10 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:38:00 PM | 12/04/2017 18:17:20
46379492 | Lot of 8 Fabrication Fight Miracles Workers Coins | 9.99 | 0 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:39:00 PM | 12/04/2017 18:17:21
46377206 | 3 Antique US Coins w/ Buffalo Indian Head Nickel | 16.00 | 4 | Goodwill Industries of the Valleys | Estimate Shipping | 12/4/2017 6:40:00 PM | 12/04/2017 18:17:21
